Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
1	1	Avatar	Fox	2788	760.5	0.273	2027.5	0.727	2009^	7.9	Sam Worthington	Zoe Saldana	James Cameron	65	54	6	14	12	46
2	2	Titanic	Par.	2186.8	658.7	0.301	1528.1	0.699	1997^	7.7	Leonardo DiCaprio	Kate Winslet	James Cameron	65	54	85	195	80	144
3	3	Star Wars: The Force Awakens	BV	2042.5	923.7	0.452	1118.8	0.548	2015	8.4	Harrison Ford	Mark Hamill	J.J. Abrams	18	41	32	36	11	13
4	4	Jurassic World	Uni.	1670.4	652.3	0.39	1018.1	0.61	2015	7.1	Chris Pratt	Bryce Dallas Howard	Colin Trevorrow	0	9	10	25	14	23
5	5	Marvel's The Avengers	BV	1519.6	623.4	0.41	896.2	0.59	2012	8.1	Robert Downey Jr.	Chris Evans	Joss Whedon	20	39	33	91	4	26
6	6	Furious 7	Uni.	1516	353	0.233	1163	0.767	2015	7.3	Vin Diesel	Paul Walker	James Wan	10	8	7	26	7	11
7	7	Avengers: Age of Ultron	BV	1405.4	459	0.327	946.4	0.673	2015	7.6	Robert Downey Jr.	Chris Hemsworth	Joss Whedon	20	39	33	91	9	21
8	8	Harry Potter and the Deathly Hallows Part 2	WB	1341.5	381	0.284	960.5	0.716	2011	8.1	Ralph Fiennes	Michael Gambon	David Yates	14	15	32	90	18	16
9	9	Frozen	BV	1276.5	400.7	0.314	875.7	0.686	2013	7.6	Kristen Bell	Idina Menzel	Chris Buck	9	10	11	30	6	14
10	10	Iron Man 3	BV	1215.4	409	0.337	806.4	0.663	2013	7.3	Robert Downey Jr.	Gwyneth Paltrow	Shane Black	3	7	33	91	23	48
11	11	Minions	Uni.	1159.4	336	0.29	823.4	0.71	2015	6.5	Sandra Bullock	Jon Hamm	Kyle Balda	0	1	72	102	19	76
12	12	Transformers: Dark of the Moon	P/DW	1123.8	352.4	0.314	771.4	0.686	2011	6.3	Shia LaBeouf	Rosie Huntington-Whiteley	Michael Bay	7	10	11	38	1	3
13	13	The Lord of the Rings: The Return of the King	NL	1119.9	377.8	0.337	742.1	0.663	2003^	8.9	Noel Appleby	Ali Astin	Peter Jackson	129	120	1	0	 	 
14	14	Skyfall	Sony	1108.6	304.4	0.275	804.2	0.725	2012	7.8	Daniel Craig	Judi Dench	Sam Mendes	39	25	13	27	59	162
15	15	Transformers: Age of Extinction	Par.	1104.1	245.4	0.222	858.6	0.778	2014	5.7	Mark Wahlberg	Stanley Tucci	Michael Bay	7	10	20	60	25	47
16	16	The Dark Knight Rises	WB	1084.9	448.1	0.413	636.8	0.587	2012	8.5	Christian Bale	Gary Oldman	Christopher Nolan	121	160	64	76	24	44
17	17	Pirates of the Caribbean: Dead Man's Chest	BV	1066.2	423.3	0.397	642.9	0.603	2006	7.3	Johnny Depp	Orlando Bloom	Gore Verbinski	7	10	65	115	24	25
