"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"1" 1 1 "Avatar" "Fox" 2788 760.5 2027.5 "December 18" 2009 "Sci-Fi Adventure" "PG-13" 3461 7.9 "Sci-Fi" "Adventure" 77 160 34 "James Cameron" "" "Sam Worthington" "Zoe Saldana" NA "hs" "avatar" 0 0 0 293 72 NA "7.50" 882.18 89.32 NA 65 54 6 12 14 46
"2" 2 2 "Titanic" "Par." 2186.8 658.7 1528.1 "December 19" 1997 "Romance" "PG-13" NA 7.7 "Romance" "" NA 194 NA "James Cameron" "" "Leonardo DiCaprio" "Kate Winslet" 200 "hs" "titanic" 0 0 0 178 77 3.29 "4.59" 1248.52 NA 379.08 65 54 85 80 195 144
"3" 3 3 "Star Wars: The Force Awakens" "BV" 2042.5 923.7 1118.8 "December 18" 2015 "Sci-Fi Fantasy" "PG-13" NA 8.4 "Sci-Fi" "Fantasy" NA 136 NA "J.J. Abrams" "" "Harrison Ford" "Mark Hamill" 200 "hs" "starwars:theforceawakens" 0 0 1 342 81 4.62 "8.43" 953.28 NA 206.41 18 41 32 11 36 13
"4" 4 4 "Jurassic World" "Uni." 1670.4 652.3 1018.1 "June 12" 2015 "Sci-Fi Horror" "PG-13" NA 7.1 "Sci-Fi" "Horror" NA 124 NA "Colin Trevorrow" "" "Chris Pratt" "Bryce Dallas Howard" 150 "ss" "jurassicworld" 0 0 0 NA NA 4.35 "8.43" 673.19 NA 154.8 0 9 10 14 25 23
"5" 5 5 "Marvel's The Avengers" "BV" 1519.6 623.4 896.2 "May 4" 2012 "AA" "PG-13" 4349 8.1 "AA" "" 207.4 142 22 "Joss Whedon" "" "Robert Downey Jr." "Chris Evans" 220 "ns" "marvel'stheavengers" 1 1 0 314 81 2.83 "7.96" 681.35 226.68 240.45 20 39 33 4 91 26
"6" 6 6 "Furious 7" "Uni." 1516 353 1163 "April 3" 2015 "Action" "PG-13" 4022 7.3 "Action" "" NA 137 NA "James Wan" "" "Vin Diesel" "Paul Walker" 190 "ns" "furious7" 0 0 1 NA NA 1.86 "8.43" 364.31 NA 196.09 10 8 7 7 26 11
"7" 7 7 "Avengers: Age of Ultron" "BV" 1405.4 459 946.4 "May 1" 2015 "AA" "PG-13" 4276 7.6 "AA" "" 191.3 141 23 "Joss Whedon" "" "Robert Downey Jr." "Chris Hemsworth" 250 "ns" "avengers:ageofultron" 1 1 1 NA NA 1.84 "8.43" 473.7 197.43 258.01 20 39 33 9 91 21
"8" 8 8 "Harry Potter and the Deathly Hallows Part 2" "WB" 1341.5 381 960.5 "July 15" 2011 "Fantasy" "PG-13" 4375 8.1 "Fantasy" "" 169.2 130 19 "David Yates" "" "Ralph Fiennes" "Michael Gambon" NA "ss" "harrypotterandthedeathlyhallowspart2" 0 0 1 308 85 NA "7.93" 417.99 185.63 NA 14 15 32 18 90 16
"9" 9 9 "Frozen" "BV" 1276.5 400.7 875.7 "November 22" 2013 "Animation" "PG" NA 7.6 "Animation" "" NA 108 NA "Chris Buck" "Jennifer Lee" "Kristen Bell" "Idina Menzel" 150 "hs" "frozen" 0 0 0 129 77 2.67 "8.13" 428.79 NA 160.52 9 10 11 6 30 14
"10" 10 10 "Iron Man 3" "BV" 1215.4 409 806.4 "May 3" 2013 "AA" "PG-13" 4253 7.3 "AA" "" 174.1 129 19 "Shane Black" "" "Robert Downey Jr." "Gwyneth Paltrow" 200 "ns" "ironman3" 5 1 1 284 67 2.04 "8.13" 437.68 186.31 214.02 3 7 33 23 91 48
