Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
1	1	Avatar	Fox	2788	760.5	0.273	2027.5	0.727	2009^	7.9	tt0499549	Sam Worthington	Zoe Saldana	James Cameron	
2	2	Titanic	Par.	2186.8	658.7	0.301	1528.1	0.699	1997^	7.7	tt0120338	Leonardo DiCaprio	Kate Winslet	James Cameron	
3	3	Star Wars: The Force Awakens	BV	2042.5	923.7	0.452	1118.8	0.548	2015	8.4	tt2488496	Harrison Ford	Mark Hamill	J.J. Abrams	
4	4	Jurassic World	Uni.	1670.4	652.3	0.39	1018.1	0.61	2015	7.1	tt0369610	Chris Pratt	Bryce Dallas Howard	Colin Trevorrow	
5	5	Marvel's The Avengers	BV	1519.6	623.4	0.41	896.2	0.59	2012	8.1	tt0848228	Robert Downey Jr.	Chris Evans	Joss Whedon	
6	6	Furious 7	Uni.	1516	353	0.233	1163	0.767	2015	7.3	tt2820852	Vin Diesel	Paul Walker	James Wan	
7	7	Avengers: Age of Ultron	BV	1405.4	459	0.327	946.4	0.673	2015	7.6	tt2395427	Robert Downey Jr.	Chris Hemsworth	Joss Whedon	
8	8	Harry Potter and the Deathly Hallows Part 2	WB	1341.5	381	0.284	960.5	0.716	2011	8.1	tt1201607	Ralph Fiennes	Michael Gambon	David Yates	
9	9	Frozen	BV	1276.5	400.7	0.314	875.7	0.686	2013	7.6	tt2294629	Kristen Bell	Idina Menzel	Chris Buck	Jennifer Lee
10	10	Iron Man 3	BV	1215.4	409	0.337	806.4	0.663	2013	7.3	tt1300854	Robert Downey Jr.	Gwyneth Paltrow	Shane Black	
11	11	Minions	Uni.	1159.4	336	0.29	823.4	0.71	2015	6.5	tt2293640	Sandra Bullock	Jon Hamm	Kyle Balda	Pierre Coffin
12	12	Transformers: Dark of the Moon	P/DW	1123.8	352.4	0.314	771.4	0.686	2011	6.3	tt1399103	Shia LaBeouf	Rosie Huntington-Whiteley	Michael Bay	
13	13	The Lord of the Rings: The Return of the King	NL	1119.9	377.8	0.337	742.1	0.663	2003^	8.9	tt0167260	Noel Appleby	Ali Astin	Peter Jackson	
14	14	Skyfall	Sony	1108.6	304.4	0.275	804.2	0.725	2012	7.8	tt1074638	Daniel Craig	Judi Dench	Sam Mendes	
15	15	Transformers: Age of Extinction	Par.	1104.1	245.4	0.222	858.6	0.778	2014	5.7	tt2109248	Mark Wahlberg	Stanley Tucci	Michael Bay	
16	16	The Dark Knight Rises	WB	1084.9	448.1	0.413	636.8	0.587	2012	8.5	tt1345836	Christian Bale	Gary Oldman	Christopher Nolan	
17	17	Pirates of the Caribbean: Dead Man's Chest	BV	1066.2	423.3	0.397	642.9	0.603	2006	7.3	tt0383574	Johnny Depp	Orlando Bloom	Gore Verbinski	
18	18	Toy Story 3	BV	1063.2	415	0.39	648.2	0.61	2010	8.4	tt0435761	Tom Hanks	Tim Allen	Lee Unkrich	
19	19	Pirates of the Caribbean: On Stranger Tides	BV	1045.7	241.1	0.231	804.6	0.769	2011	6.7	tt1298650	Johnny Depp	Pen¨¦lope Cruz	Rob Marshall	
20	20	Jurassic Park	Uni.	1029.2	402.5	0.391	626.7	0.609	1993^	8.1	tt0107290	Sam Neill	Laura Dern	Steven Spielberg	
21	21	Star Wars: Episode I - The Phantom Menace	Fox	1027	474.5	0.462	552.5	0.538	1999^	6.5	tt0120915	Liam Neeson	Ewan McGregor	George Lucas	
22	22	Alice in Wonderland (2010)	BV	1025.5	334.2	0.326	691.3	0.674	2010	6.5	tt1014759	Johnny Depp	Mia Wasikowska	Tim Burton	
23	23	The Hobbit: An Unexpected Journey	WB (NL)	1021.1	303	0.297	718.1	0.703	2012	7.9	tt0903624	Ian McKellen	Martin Freeman	Peter Jackson	
24	24	The Dark Knight	WB	1004.6	534.9	0.532	469.7	0.468	2008^	9	tt0468569	Christian Bale	Heath Ledger	Christopher Nolan	
25	25	The Lion King	BV	987.5	422.8	0.428	564.7	0.572	1994^	8.5	tt0110357	Matthew Broderick	Jonathan Taylor Thomas	Roger Allers	Rob Minkoff
26	26	Harry Potter and the Sorcerer's Stone	WB	974.8	317.6	0.326	657.2	0.674	2001	7.5	tt0241527	Richard Harris	Maggie Smith	Chris Columbus	
27	27	Despicable Me 2	Uni.	970.8	368.1	0.379	602.7	0.621	2013	7.5	tt1690953	Steve Carell	Kristen Wiig	Pierre Coffin	Chris Renaud
28	28	Pirates of the Caribbean: At World's End	BV	963.4	309.4	0.321	654	0.679	2007	7.1	tt0449088	Johnny Depp	Geoffrey Rush	Gore Verbinski	
29	29	Harry Potter and the Deathly Hallows Part 1	WB	960.3	296	0.308	664.3	0.692	2010	7.7	tt0926084	Bill Nighy	Emma Watson	David Yates	
30	30	The Hobbit: The Desolation of Smaug	WB (NL)	958.4	258.4	0.27	700	0.73	2013	7.9	tt1170358	Ian McKellen	Martin Freeman	Peter Jackson	
31	31	The Hobbit: The Battle of the Five Armies	WB (NL)	956	255.1	0.267	700.9	0.733	2014	7.5	tt2310332	Ian McKellen	Martin Freeman	Peter Jackson	
32	32	Harry Potter and the Order of the Phoenix	WB	939.9	292	0.311	647.9	0.689	2007	7.5	tt0373889	Daniel Radcliffe	Harry Melling	David Yates	
33	33	Finding Nemo	BV	936.7	380.8	0.407	555.9	0.593	2003^	8.1	tt0266543	Albert Brooks	Ellen DeGeneres	Andrew Stanton	Lee Unkrich
34	34	Harry Potter and the Half-Blood Prince	WB	934.4	302	0.323	632.5	0.677	2009	7.5	tt0417741	Daniel Radcliffe	Michael Gambon	David Yates	
35	35	The Lord of the Rings: The Two Towers	NL	926	342.6	0.37	583.5	0.63	2002^	8.7	tt0167261	Bruce Allpress	Sean Astin	Peter Jackson	
36	36	Shrek 2	DW	919.8	441.2	0.48	478.6	0.52	2004	7.2	tt0298148	Mike Myers	Eddie Murphy	Andrew Adamson	Kelly Asbury
37	37	Harry Potter and the Goblet of Fire	WB	896.9	290	0.323	606.9	0.677	2005	7.6	tt0330373	Eric Sykes	Timothy Spall	Mike Newell	
38	38	Spider-Man 3	Sony	890.9	336.5	0.378	554.3	0.622	2007	6.2	tt0413300	Tobey Maguire	Kirsten Dunst	Sam Raimi	
39	39	Ice Age: Dawn of the Dinosaurs	Fox	886.7	196.6	0.222	690.1	0.778	2009	7	tt1080016	Eunice Cho	Karen Disher	Carlos Saldanha	Mike Thurmeier
40	40	Spectre	Sony	879.5	199.8	0.227	679.7	0.773	2015	6.9	tt2379713	Daniel Craig	Christoph Waltz	Sam Mendes	
41	41	Harry Potter and the Chamber of Secrets	WB	879	262	0.298	617	0.702	2002	7.4	tt0295297	Daniel Radcliffe	Rupert Grint	Chris Columbus	
42	42	Ice Age: Continental Drift	Fox	877.2	161.3	0.184	715.9	0.816	2012	6.7	tt1667889	Aziz Ansari	Joy Behar	Steve Martino	Mike Thurmeier
43	43	The Lord of the Rings: The Fellowship of the Ring	NL	871.5	315.5	0.362	556	0.638	2001^	8.8	tt0120737	Alan Howard	Noel Appleby	Peter Jackson	
44	44	The Hunger Games: Catching Fire	LGF	865	424.7	0.491	440.3	0.509	2013	7.6	tt1951264	Jennifer Lawrence	Liam Hemsworth	Francis Lawrence	
45	45	Inside Out	BV	856.8	356.5	0.416	500.3	0.584	2015	8.3	tt2096673	Amy Poehler	Phyllis Smith	Pete Docter	Ronnie Del Carmen
46	46	Star Wars: Episode III - Revenge of the Sith	Fox	848.8	380.3	0.448	468.5	0.552	2005^	7.6	tt0121766	Ewan McGregor	Natalie Portman	George Lucas	
47	47	Transformers: Revenge of the Fallen	P/DW	836.3	402.1	0.481	434.2	0.519	2009	6	tt1055369	Shia LaBeouf	Megan Fox	Michael Bay	
48	48	The Twilight Saga: Breaking Dawn Part 2	LG/S	829.7	292.3	0.352	537.4	0.648	2012	5.5	tt1673434	Kristen Stewart	Robert Pattinson	Bill Condon	
49	49	Inception	WB	825.5	292.6	0.354	533	0.646	2010	8.8	tt1375666	Leonardo DiCaprio	Joseph Gordon-Levitt	Christopher Nolan	
50	50	Spider-Man	Sony	821.7	403.7	0.491	418	0.509	2002	7.3	tt0145487	Tobey Maguire	Willem Dafoe	Sam Raimi	
51	51	Independence Day	Fox	817.4	306.2	0.375	511.2	0.625	1996^	6.9	tt0116629	Will Smith	Bill Pullman	Roland Emmerich	
52	52	Shrek the Third	P/DW	799	322.7	0.404	476.2	0.596	2007	6.1	tt0413267	Mike Myers	Eddie Murphy	Chris Miller	Raman Hui
53	53	Harry Potter and the Prisoner of Azkaban	WB	796.7	249.5	0.313	547.1	0.687	2004	7.8	tt0304141	Daniel Radcliffe	Richard Griffiths	Alfonso Cuar¨®n	
54	54	E.T.: The Extra-Terrestrial	Uni.	792.9	435.1	0.549	357.8	0.451	1982^	7.8	tt0083866	Dee Wallace	Henry Thomas	Steven Spielberg	
55	55	Fast & Furious 6	Uni.	788.7	238.7	0.303	550	0.697	2013	7.2	tt1905041	Vin Diesel	Paul Walker	Justin Lin	
56	56	Indiana Jones and the Kingdom of the Crystal Skull	Par.	786.6	317.1	0.403	469.5	0.597	2008	6.2	tt0367882	Harrison Ford	Cate Blanchett	Steven Spielberg	
57	57	Spider-Man 2	Sony	783.8	373.6	0.477	410.2	0.523	2004	7.3	tt0316654	Tobey Maguire	Kirsten Dunst	Sam Raimi	
58	58	Star Wars	Fox	775.4	461	0.595	314.4	0.405	1977^	8.7	tt0076759	Mark Hamill	Harrison Ford	George Lucas	
59	59	Guardians of the Galaxy	BV	773.3	333.2	0.431	440.1	0.569	2014	8.1	tt2015381	Chris Pratt	Zoe Saldana	James Gunn	
60	60	2012	Sony	769.7	166.1	0.216	603.6	0.784	2009	5.8	tt1190080	John Cusack	Amanda Peet	Roland Emmerich	
61	61	Maleficent	BV	758.5	241.4	0.318	517.1	0.682	2014	7	tt1587310	Angelina Jolie	Elle Fanning	Robert Stromberg	
62	62	The Da Vinci Code	Sony	758.2	217.5	0.287	540.7	0.713	2006	6.5	tt0382625	Tom Hanks	Audrey Tautou	Ron Howard	
63	63	The Amazing Spider-Man	Sony	757.9	262	0.346	495.9	0.654	2012	7.3	tt0316654	Tobey Maguire	Kirsten Dunst	Sam Raimi	
