"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"1"	1	71	"Big "	"97%"	"1988"	"big"
"2"	2	63	"Bull Durham "	"97%"	"1988"	"bulldurham"
"3"	3	61	"Who Framed Roger Rabbit "	"97%"	"1988"	"whoframedrogerrabbit"
"4"	4	45	"Midnight Run "	"96%"	"1988"	"midnightrun"
"5"	5	43	"Heathers "	"95%"	"1988"	"heathers"
"6"	6	59	"A Fish Called Wanda "	"93%"	"1988"	"afishcalledwanda"
"7"	7	64	"Die Hard "	"92%"	"1988"	"diehard"
"8"	8	44	"My Neighbor Totoro "	"93%"	"1988"	"myneighbortotoro"
"9"	9	69	"Rain Man "	"90%"	"1988"	"rainman"
"10"	10	67	"Cinema Paradiso Nuovo Cinema Paradiso) "	"90%"	"1988"	"cinemaparadisonuovocinemaparadiso)"
"11"	11	51	"The Naked Gun - From the Files of Police Squad! "	"86%"	"1988"	"thenakedgun-fromthefilesofpolicesquad!"
"12"	12	48	"Eight Men Out "	"85%"	"1988"	"eightmenout"
"13"	13	47	"They Live "	"83%"	"1988"	"theylive"
"14"	14	51	"The Last Temptation of Christ "	"82%"	"1988"	"thelasttemptationofchrist"
"15"	15	45	"Talk Radio "	"82%"	"1988"	"talkradio"
"16"	16	43	"Beetlejuice "	"81%"	"1988"	"beetlejuice"
"17"	17	40	"Frantic "	"78%"	"1988"	"frantic"
"18"	18	40	"Scrooged "	"68%"	"1988"	"scrooged"
"19"	1	43	"sex, lies, and videotape "	"98%"	"1989"	"sex,lies,andvideotape"
"20"	2	42	"Say Anything... "	"98%"	"1989"	"sayanything..."
"21"	3	67	"Do the Right Thing "	"93%"	"1989"	"dotherightthing"
"22"	4	66	"The Little Mermaid "	"92%"	"1989"	"thelittlemermaid"
"23"	5	53	"Parenthood "	"92%"	"1989"	"parenthood"
"24"	6	41	"Glory "	"93%"	"1989"	"glory"
"25"	7	51	"The Adventures of Baron Munchausen "	"92%"	"1989"	"theadventuresofbaronmunchausen"
"26"	8	40	"Crimes and Misdemeanors "	"93%"	"1989"	"crimesandmisdemeanors"
"27"	9	64	"When Harry Met Sally "	"89%"	"1989"	"whenharrymetsally"
"28"	10	68	"Indiana Jones and the Last Crusade "	"88%"	"1989"	"indianajonesandthelastcrusade"
"29"	11	44	"The Abyss "	"89%"	"1989"	"theabyss"
"30"	12	56	"Field of Dreams "	"86%"	"1989"	"fieldofdreams"
"31"	13	54	"Dead Poets Society "	"85%"	"1989"	"deadpoetssociety"
"32"	14	55	"Driving Miss Daisy "	"82%"	"1989"	"drivingmissdaisy"
"33"	15	42	"Casualties of War "	"83%"	"1989"	"casualtiesofwar"
"34"	16	43	"Bill and Ted's Excellent Adventure "	"79%"	"1989"	"billandted'sexcellentadventure"
"35"	17	52	"Licence To Kill "	"77%"	"1989"	"licencetokill"
"36"	18	68	"Batman "	"72%"	"1989"	"batman"
"37"	19	60	"Back to the Future Part II "	"63%"	"1989"	"backtothefuturepartii"
"38"	20	41	"Tango & Cash "	"34%"	"1989"	"tango&cash"
"39"	21	43	"Star Trek V - The Final Frontier "	"21%"	"1989"	"startrekv-thefinalfrontier"
"40"	1	76	"GoodFellas "	"96%"	"1990"	"goodfellas"
"41"	2	45	"The Freshman "	"93%"	"1990"	"thefreshman"
"42"	3	55	"Miller's Crossing "	"91%"	"1990"	"miller'scrossing"
"43"	4	61	"Misery "	"89%"	"1990"	"misery"
"44"	5	56	"Edward Scissorhands "	"89%"	"1990"	"edwardscissorhands"
"45"	6	66	"The Hunt for Red October "	"86%"	"1990"	"thehuntforredoctober"
"46"	7	42	"Nikita La Femme Nikita) "	"88%"	"1990"	"nikitalafemmenikita)"
"47"	8	49	"Presumed Innocent "	"86%"	"1990"	"presumedinnocent"
"48"	9	52	"Total Recall "	"85%"	"1990"	"totalrecall"
"49"	10	58	"Darkman "	"83%"	"1990"	"darkman"
"50"	11	66	"Dances With Wolves "	"82%"	"1990"	"danceswithwolves"
"51"	12	66	"Ghost "	"74%"	"1990"	"ghost"
"52"	13	55	"Cry-Baby "	"73%"	"1990"	"cry-baby"
"53"	14	43	"Back to the Future Part III "	"74%"	"1990"	"backtothefuturepartiii"
"54"	15	61	"Jacob's Ladder "	"69%"	"1990"	"jacob'sladder"
"55"	16	61	"Die Hard 2 "	"69%"	"1990"	"diehard2"
"56"	17	57	"The Godfather, Part III "	"67%"	"1990"	"thegodfather,partiii"
"57"	18	43	"Gremlins 2: The New Batch "	"67%"	"1990"	"gremlins2:thenewbatch"
