"adjusted" "studio" "release_year" "genre" "mpaa" "theater" "rating" "runt" "per" "sh" "shb" "series" "rn" "to_rating" "bb" "adjusted.1" "adbudget" "adow" "dir_win" "dir_nomi" "st1_win" "st1_nomi" "st2_win" "st2_nomi" "genre1"
"1" 882.18 "Fox" 2009 "Sci-Fi Adventure" "PG-13" 3461 7.9 160 "hs" 0 0 0 293 72 NA 882.18 NA 89.32 65 54 6 14 12 46 "Sci-Fi"
"2" 1248.52 "Par." 1997 "Romance" "PG-13" NA 7.7 194 "hs" 0 0 0 178 77 3.29 1248.52 379.08 NA 65 54 85 195 80 144 "Romance"
"3" 953.28 "BV" 2015 "Sci-Fi Fantasy" "PG-13" NA 8.4 136 "hs" 0 0 1 342 81 4.62 953.28 206.41 NA 18 41 32 36 11 13 "Sci-Fi"
"4" 673.19 "Uni." 2015 "Sci-Fi Horror" "PG-13" NA 7.1 124 "ss" 0 0 0 NA NA 4.35 673.19 154.8 NA 0 9 10 25 14 23 "Sci-Fi"
"5" 681.35 "BV" 2012 "AA" "PG-13" 4349 8.1 142 "ns" 1 1 0 314 81 2.83 681.35 240.45 226.68 20 39 33 91 4 26 "AA"
"6" 364.31 "Uni." 2015 "Action" "PG-13" 4022 7.3 137 "ns" 0 0 1 NA NA 1.86 364.31 196.09 NA 10 8 7 26 7 11 "Action"
"7" 473.7 "BV" 2015 "AA" "PG-13" 4276 7.6 141 "ns" 1 1 1 NA NA 1.84 473.7 258.01 197.43 20 39 33 91 9 21 "AA"
"8" 417.99 "WB" 2011 "Fantasy" "PG-13" 4375 8.1 130 "ss" 0 0 1 308 85 NA 417.99 NA 185.63 14 15 32 90 18 16 "Fantasy"
"9" 428.79 "BV" 2013 "Animation" "PG" NA 7.6 108 "hs" 0 0 0 129 77 2.67 428.79 160.52 NA 9 10 11 30 6 14 "Animation"
"10" 437.68 "BV" 2013 "AA" "PG-13" 4253 7.3 129 "ns" 5 1 1 284 67 2.04 437.68 214.02 186.31 3 7 33 91 23 48 "AA"
"11" 346.76 "Uni." 2015 "Animation" "PG" NA 6.5 91 "ss" 0 0 0 NA NA 4.54 346.76 76.37 NA 0 1 72 102 19 76 "Animation"
"12" 386.62 "P/DW" 2011 "Sci-Fi Action" "PG-13" 4088 6.3 154 "ss" 0 0 1 NA NA 1.81 386.62 213.93 107.41 7 10 11 38 1 3 "Sci-Fi"
"13" 545.08 "NL" 2003 "Fantasy" "PG-13" NA 8.9 200 "hs" 0 0 1 262 84 4.02 545.08 135.62 NA 129 120 1 0 NA NA "Fantasy"
"14" 332.7 "Sony" 2012 "Action" "PG-13" 3526 7.8 143 "ns" 0 0 0 341 82 1.52 332.7 218.59 96.62 39 25 13 27 59 162 "Action"
"15" 261.32 "Par." 2014 "Sci-Fi Action" "PG-13" 4233 5.7 165 "ss" 0 0 1 NA NA 1.17 261.32 223.62 106.49 7 10 20 60 25 47 "Sci-Fi"
"16" 489.76 "WB" 2012 "Action Thriller" "PG-13" 4404 8.5 165 "ss" 2 1 0 328 76 1.79 489.76 273.24 175.86 121 160 64 76 24 44 "Action"
"17" 562.25 "BV" 2006 "Period Adventure" "PG-13" 4133 7.3 151 "ss" 0 0 1 NA NA 1.88 562.25 298.85 180.11 7 10 65 115 24 25 "Period"
"18" 457.6 "BV" 2010 "Animation" "G" 4028 8.4 103 "ss" 0 0 1 287 88 2.08 457.6 220.53 121.62 14 23 76 115 23 32 "Animation"
"19" 264.51 "BV" 2011 "Period Adventure" "PG-13" 4164 6.7 137 "ss" 0 0 1 NA NA 0.96 264.51 274.27 98.96 14 21 65 115 49 92 "Period"
"20" 845.83 "Uni." 1993 "Sci-Fi Horror" "PG-13" 2566 8.1 127 "ss" 0 0 0 116 82 6.39 845.83 132.39 NA 175 168 3 25 12 42 "Sci-Fi"
"21" 812.63 "Fox" 1999 "Sci-Fi Fantasy" "PG" 3126 6.5 133 "ns" 0 0 1 212 44 4.13 812.63 196.95 110.98 40 31 15 35 24 38 "Sci-Fi"
"22" 368.51 "BV" 2010 "Family Adventure" "PG" 3739 6.5 109 "ns" 0 0 0 NA NA 1.67 368.51 220.53 128.02 20 58 65 115 6 39 "Family"
"23" 331.17 "WB (NL)" 2012 "Fantasy" "PG-13" 4100 7.9 166 "hs" 0 0 1 NA NA NA 331.17 NA 92.46 129 120 46 57 7 26 "Fantasy"
"24" 648.14 "WB" 2008 "AA" "PG-13" 4366 9 150 "ss" 2 1 0 314 83 2.89 648.14 224.16 191.93 121 160 64 76 74 53 "AA"
"25" 879.99 "BV" 1994 "Animation" "G" NA 8.5 89 "ss" 0 0 0 113 80 9.4 879.99 93.66 NA 1 6 2 13 5 11 "Animation"
"26" 488.18 "WB" 2001 "Fantasy" "PG" 3672 7.5 153 "ns" 0 0 0 194 69 2.54 488.18 192.14 NA 6 18 10 15 44 91 "Fantasy"
"27" 393.91 "Uni." 2013 "Animation" "PG" 4003 7.5 98 "ss" 0 0 1 NA NA 4.84 393.91 81.33 NA 0 18 32 115 8 55 "Animation"
"28" 391.25 "BV" 2007 "Period Adventure" "PG-13" 4362 7.1 168 "ss" 0 0 1 NA NA 1.03 391.25 379.36 145.04 7 10 65 115 43 75 "Period"
"29" 326.39 "WB" 2010 "Fantasy" "PG-13" 4125 7.7 150 "ns" 0 0 1 260 66 NA 326.39 NA NA 14 15 15 25 16 45 "Fantasy"
"30" 276.52 "WB (NL)" 2013 "Fantasy" "PG-13" 3928 7.9 161 "hs" 0 0 1 NA NA NA 276.52 NA 78.76 129 120 46 57 7 26 "Fantasy"
"31" 271.65 "WB (NL)" 2014 "Fantasy" "PG-13" 3875 7.5 144 "hs" 0 0 1 NA NA NA 271.65 NA 58.25 129 120 46 57 7 26 "Fantasy"
"32" 369.24 "WB" 2007 "Fantasy" "PG-13" 4285 7.5 139 "ss" 0 0 0 242 67 1.95 369.24 189.68 97.5 14 15 13 38 NA NA "Fantasy"
"33" 549.41 "BV" 2003 "Animation" "G" 3425 8.1 104 "ss" 0 0 0 253 88 4.05 549.41 135.62 101.43 32 50 26 29 72 64 "Animation"
"34" 350.32 "WB" 2009 "Fantasy" "PG" 4455 7.5 153 "ss" 0 0 0 266 72 1.21 350.32 290 90.25 14 15 13 38 18 16 "Fantasy"
"35" 513.02 "NL" 2002 "Fantasy" "PG-13" NA 8.7 179 "hs" 0 0 1 248 85 3.64 513.02 140.76 NA 129 120 1 0 18 19 "Fantasy"
"36" 618.11 "DW" 2004 "Animation" "PG" 4223 7.2 93 "ns" 0 0 1 233 77 2.94 618.11 210.14 151.3 7 19 28 38 30 67 "Animation"
"37" 393.6 "WB" 2005 "Fantasy" "PG-13" 3858 7.6 153 "ns" 0 0 0 246 77 1.93 393.6 203.59 139.39 13 10 1 0 14 27 "Fantasy"
"38" 425.52 "Sony" 2007 "AA" "PG-13" 4324 6.2 140 "ns" 3 1 1 NA NA 1.3 425.52 326.25 191.07 10 16 7 30 28 56 "AA"
"39" 228.06 "Fox" 2009 "Animation" "PG" 4102 7 87 "ss" 0 0 1 NA NA 2.18 228.06 104.4 48.37 2 12 NA NA NA NA "Animation"
"40" 206.2 "Sony" 2015 "Action" "PG-13" NA 6.9 148 "ns" 0 0 0 NA NA 0.82 206.2 252.85 NA 39 25 13 27 81 37 "Action"
"41" 392.32 "WB" 2002 "Fantasy" "PG" 3682 7.4 161 "ns" 0 0 0 230 71 2.62 392.32 149.74 132.37 6 18 13 38 3 11 "Fantasy"
"42" 176.3 "Fox" 2012 "Animation" "PG" 3886 6.7 94 "ss" 0 0 1 NA NA 1.7 176.3 103.83 50.93 22 39 0 11 5 24 "Animation"
"43" 484.96 "NL" 2001 "Fantasy" "PG-13" NA 8.8 178 "hs" 0 0 1 225 80 3.39 484.96 142.95 NA 129 120 0 1 1 0 "Fantasy"
"44" 454.48 "LGF" 2013 "AA" "PG-13" 4163 7.6 146 "hs" 0 0 1 253 78 3.27 454.48 139.11 169.18 3 5 106 157 6 14 "AA"
"45" 367.92 "BV" 2015 "Animation" "PG" NA 8.3 94 "ss" 0 0 0 304 87 2.04 367.92 180.6 NA 41 56 18 72 5 8 "Animation"
"46" 516.16 "Fox" 2005 "Sci-Fi Fantasy" "PG-13" 3663 7.6 146 "ns" 0 0 1 283 67 3.37 516.16 153.37 147.13 40 31 24 38 58 85 "Sci-Fi"
"47" 466.44 "P/DW" 2009 "Sci-Fi Action" "PG-13" 4293 6 144 "ss" 0 0 1 NA NA 2.01 466.44 232 126.44 7 10 11 38 6 18 "Sci-Fi"
"48" 319.47 "LG/S" 2012 "Romance" "PG-13" 4070 5.5 116 "ns" 0 0 1 NA NA 2.44 319.47 131.16 154.22 19 40 41 53 31 30 "Romance"
"49" 322.64 "WB" 2010 "Sci-Fi Action" "PG-13" 3792 8.8 148 "ss" 0 0 0 325 75 1.83 322.64 176.43 69.25 121 160 85 195 23 60 "Sci-Fi"
"50" 604.51 "Sony" 2002 "AA" "PG-13" 3876 7.3 121 "ns" 3 1 0 236 78 2.9 604.51 208.14 171.9 10 16 7 30 28 36 "AA"
"51" 602.7 "Fox" 1996 "Sci-Fi Action" "PG-13" 2977 6.9 153 "ss" 0 0 0 57 48 4.08 602.7 147.62 NA 13 14 56 106 5 2 "Sci-Fi"
"52" 408.07 "P/DW" 2007 "Animation" "PG" 4172 6.1 92 "ns" 0 0 0 NA NA 2.02 408.07 202.33 NA 12 12 28 38 30 67 "Animation"
"53" 349.54 "WB" 2004 "Fantasy" "PG" 3855 7.8 142 "ss" 0 0 0 250 80 1.92 349.54 182.13 131.27 100 89 13 38 0 4 "Fantasy"
"54" 1287.54 "Uni." 1982 "Family Adventure" "PG" NA 7.8 117 "ss" 0 0 1 NA NA 41.44 1287.54 31.07 NA 175 168 2 2 2 8 "Family"
"55" 255.44 "Uni." 2013 "Action" "PG-13" 3771 7.2 130 "ss" 0 0 1 NA NA 1.49 255.44 171.22 104.23 3 6 7 26 7 11 "Action"
"56" 384.23 "Par." 2008 "Period Adventure" "PG-13" 4264 6.2 120 "ss" 0 0 0 256 66 1.71 384.23 224.16 NA 175 168 32 36 144 177 "Period"
"57" 523.4 "Sony" 2004 "AA" "PG-13" 4166 7.3 127 "ss" 3 1 1 261 82 1.87 523.4 280.19 123.57 10 16 7 30 28 56 "AA"
"58" 1798.52 "Fox" 1977 "Sci-Fi Fantasy" "PG" NA 8.7 121 "ss" 0 0 0 212 44 41.91 1798.52 42.91 NA 40 31 11 13 32 36 "Sci-Fi"
"59" 354.82 "BV" 2014 "AA" "PG-13" 4088 8.1 121 "ss" 1 1 0 275 80 1.96 354.82 181.03 100.42 12 8 10 25 12 46 "AA"
"60" 192.68 "Sony" 2009 "Action Drama" "PG-13" 3444 5.8 158 "ns" 0 0 NA NA NA 0.83 192.68 232 75.63 13 14 7 17 2 7 "Action"
"61" 257.06 "BV" 2014 "Fantasy" "PG" 3948 7 97 "ss" 0 0 0 NA NA 1.34 257.06 191.68 73.9 17 27 47 93 10 34 "Fantasy"
"62" 288.89 "Sony" 2006 "Thriller" "PG-13" 3757 6.5 149 "ns" 0 0 0 NA NA 1.74 288.89 166.03 102.41 38 65 76 115 10 18 "Thriller"
"63" 286.36 "Sony" 2012 "AA" "PG-13" 4318 7.3 136 "ss" 3 1 0 NA NA 1.14 286.36 251.38 67.76 10 16 7 30 28 56 "AA"
"64" 358.97 "LGF" 2014 "AA" "PG-13" 4151 6.7 123 "hs" 0 0 1 NA NA 2.7 358.97 133.11 129.81 3 5 106 157 16 20 "AA"
"65" 263.21 "P/DW" 2010 "Animation" "PG" 4386 6.4 93 "ss" 0 0 0 NA NA 1.45 263.21 181.94 NA 6 6 28 38 30 67 "Animation"
"66" 249.07 "Fox" 2014 "AA" "PG-13" 4001 8 131 "ss" 4 1 1 274 80 1.17 249.07 212.97 96.69 14 20 20 71 11 25 "AA"
"67" 236.52 "P/DW" 2012 "Animation" "PG" 4263 6.9 93 "ss" 0 0 1 NA NA 1.49 236.52 158.48 65.91 0 2 13 52 18 60 "Animation"
"68" 395.91 "BV" 2005 "Fantasy" "PG" 3853 6.9 132 "hs" 0 0 1 210 64 1.62 395.91 244.31 89.04 7 19 3 10 1 3 "Fantasy"
"69" 287.32 "BV" 2013 "Animation" "G" 4004 7.4 107 "ss" 0 0 0 NA NA NA 287.32 NA 88.18 NA NA 30 47 20 62 "Animation"
"70" 406.29 "WB" 2003 "Sci-Fi Action" "R" 3603 7.2 138 "ns" 0 0 0 238 61 1.88 406.29 216.42 132.45 10 22 0 1 12 36 "Sci-Fi"
"71" 339.88 "BV" 2009 "Animation" "PG" 3886 8.3 96 "ss" 0 0 0 48 85 1.67 339.88 203 79 41 56 24 24 43 53 "Animation"
"72" 293.32 "WB" 2013 "Sci-Fi Thriller" "PG-13" 3820 7.9 91 "ns" 0 0 0 306 86 2.74 293.32 107.01 59.71 100 89 72 102 87 193 "Sci-Fi"
"73" 276.65 "BV" 2014 "AA" "PG-13" 3938 7.8 136 "ns" 1 1 1 254 78 1.53 276.65 181.03 101.16 2 26 4 26 31 76 "AA"
"74" 308.61 "Sum." 2011 "Romance" "PG-13" 4066 4.9 108 "ns" 0 0 1 NA NA 2.56 308.61 120.68 151.51 19 40 18 28 1 0 "Romance"
"75" 222.03 "Fox" 2014 "Sci-Fi Action" "PG-13" 3969 7.6 130 "ss" 0 0 0 268 79 1.23 222.03 181.03 77.31 2 6 30 42 0 4 "Sci-Fi"
"76" 344.06 "Sum." 2009 "Romance" "PG-13" 4124 4.6 130 "hs" 0 0 1 NA NA 5.93 344.06 58 165.65 2 10 41 53 NA NA "Romance"
"77" 403.64 "P/DW" 2007 "Sci-Fi Action" "PG-13" 4050 7.1 143 "ss" 0 0 0 NA NA 2.13 403.64 189.68 NA 7 10 11 38 6 18 "Sci-Fi"
"78" 216.06 "Sony" 2014 "AA" "PG-13" 4324 6.8 142 "ns" 3 1 1 NA NA NA 216.06 NA 97.54 3 4 11 51 36 76 "AA"
"79" 331.35 "Sum." 2010 "Romance" "PG-13" 4468 4.9 124 "ss" 0 0 1 NA NA 4.42 331.35 74.98 71.45 4 16 1 3 41 53 "Romance"
"80" 229.73 "Par." 2011 "Action" "PG-13" NA 7.4 132 "hs" 0 0 1 230 82 1.44 229.73 159.08 NA 30 25 39 76 1 11 "Action"
"81" 445.93 "LGF" 2012 "AA" "PG-13" 4137 7.3 142 "ns" 0 0 0 278 73 5.23 445.93 85.25 166.68 8 21 25 47 5 10 "AA"
"82" 201.25 "Par." 2015 "Action" "PG-13" 3988 7.5 130 "ss" 0 0 1 263 82 1.3 201.25 154.8 57.28 8 3 39 76 30 53 "Action"
"83" 687.47 "Par." 1994 "Comedy / Drama" "PG-13" NA 8.8 141 "ss" 0 0 0 83 60 6.01 687.47 114.47 NA 33 33 76 115 NA NA "Comedy"
"84" 200.2 "Par." 2014 "Sci-Fi Adventure" "PG-13" NA 8.6 169 "ns" 0 0 0 NA NA 1.14 200.2 175.7 NA 121 160 32 49 42 75 "Sci-Fi"
"85" 502.65 "BV" 1999 "Horror" "PG-13" 2821 8.1 107 "ss" 0 0 0 149 74 7.34 502.65 68.5 NA 12 36 21 37 25 28 "Horror"
"86" 311.4 "WB" 2013 "AA" "PG-13" 4207 7.2 143 "ss" 2 1 0 NA NA 1.29 311.4 240.77 124.77 3 7 1 5 54 146 "AA"
"87" 181.24 "P/DW" 2011 "Animation" "PG" NA 7.3 91 "ss" 0 0 1 167 70 1.1 181.24 164.56 NA 4 6 8 43 47 93 "Animation"
"88" 259.41 "Fox" 2006 "Animation" "PG" 3969 6.9 90 "ns" 0 0 1 NA NA 2.44 259.41 106.26 90.32 2 12 15 48 12 20 "Animation"
"89" 236.93 "BV" 2014 "Animation" "PG" NA 7.9 108 "ns" 1 1 1 193 78 1.35 236.93 175.7 NA 5 7 1 12 0 3 "Animation"
"90" 440.63 "BV" 2003 "Period Adventure" "PG-13" 3416 8.1 135 "ss" 0 0 1 208 67 2.18 440.63 201.99 67.23 7 10 65 115 43 75 "Period"
"91" 290.72 "LGF" 2015 "AA" "PG-13" NA 7 137 "hs" 0 0 1 NA NA 1.76 290.72 165.12 NA 3 5 106 157 16 20 "AA"
"92" 465.25 "Fox" 2002 "Sci-Fi Fantasy" "PG" 3161 6.7 132 "ns" 0 0 1 NA NA 2.7 465.25 172.2 119.79 40 31 24 38 58 85 "Sci-Fi"
"93" 220.87 "BV" 2013 "AA" "PG-13" 3841 7.1 120 "ns" 6 1 1 NA NA 1.21 220.87 181.92 91.71 6 8 9 21 58 85 "AA"
"94" 261 "P/DW" 2008 "Animation" "PG" NA 7.6 91 "ss" 0 0 0 178 76 1.66 261 157.52 NA 15 5 8 43 58 49 "Animation"
"95" 366.21 "BV" 2004 "Animation" "PG" 3933 8 115 "ns" 1 1 0 233 86 2.84 366.21 128.89 98.77 30 25 5 16 38 52 "Animation"
"96" 230.17 "Uni." 2011 "Action" "PG-13" 3793 7.3 130 "ns" 0 0 0 NA NA 1.68 230.17 137.14 94.57 3 6 7 26 7 11 "Action"
