Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
1,1,Avatar,Fox,2788.0,760.5,2027.5,2009^,"December 18, 2009",Sci-Fi Adventure, 2 hrs. 40 min.,PG-13,,77025481,238 days / 34 weeks,James Cameron,Sam WorthingtonZoe SaldanaSigourney WeaverMichelle RodriguezGiovanni RibisiJoel David Moore,3461,7.9
2,2,Titanic,Par.,2186.8,658.7,1528.1,1997^,"December 19, 1997",Romance, 3 hrs. 14 min.,PG-13,200 ,2186772302,,,,,7.7
3,3,Star Wars: The Force Awakens,BV,2042.5,923.7,1118.8,2015,"December 18, 2015",Sci-Fi Fantasy, 2 hrs. 16 min.,PG-13,200 ,2048044884,,,,,8.4
4,4,Jurassic World,Uni.,1670.4,652.3,1018.1,2015,"June 12, 2015",Sci-Fi Horror, 2 hrs. 4 min.,PG-13,150 ,1670400637,,,,,7.1
5,5,Marvel's The Avengers,BV,1519.6,623.4,896.2,2012,"May 4, 2012",Action / Adventure, 2 hrs. 22 min.,PG-13,220 ,207438708,154 days / 22 weeks,Joss Whedon,Robert Downey Jr.Chris HemsworthChris EvansJeremy RennerMark RuffaloScarlett JohanssonClark GreggSamuel L. JacksonCobie SmuldersTom HiddlestonStellan SkarsgardGwyneth Paltrow*Paul Bettany* (Voice),4349,8.1
6,6,Furious 7,Uni.,1516.0,353,1163.0,2015,"April 3, 2015",Action, 2 hrs. 17 min.,PG-13,190 ,147187040,James Wan,Chris Morgan,Vin DieselNeal H. MoritzThomas Tull (executive),4022,7.3
7,7,Avengers: Age of Ultron,BV,1405.4,459,946.4,2015,"May 1, 2015",Action / Adventure, 2 hrs. 21 min.,PG-13,250 ,191271109,161 days / 23 weeks,Joss Whedon,Robert Downey Jr.Chris HemsworthMark RuffaloChris EvansScarlett JohanssonJeremy RennerDon CheadleAaron JohnsonElizabeth OlsenPaul BettanyCobie SmuldersAnthony MackieHayley AtwellIdris ElbaStellan SkarsgardJames Spader (Voice)Samuel L. JacksonJosh Brolin (Voice)Andy Serkis* (Cameo),4276,7.6
8,8,Harry Potter and the Deathly Hallows Part 2,WB,1341.5,381,960.5,2011,"July 15, 2011",Fantasy, 2 hrs. 10 min.,PG-13,,169189427,133 days / 19 weeks,David Yates,Daniel RadcliffeRupert GrintEmma WatsonHelena Bonham CarterRalph FiennesTom Felton*Robbie Coltrane*Michael Gambon*Jason Isaacs*Alan RickmanDavid Thewlis*Julie Walters*Bonnie Wright*Gary Oldman*Emma Thompson*Maggie Smith*John Hurt*Kelly Macdonald*Ciaran Hinds*Warwick Davis*Miranda Richardson*Timothy Spall*Jim Broadbent*,4375,8.1
9,9,Frozen,BV,1276.5,400.7,875.7,2013,"November 22, 2013",Animation, 1 hrs. 48 min.,PG,150 ,1276480335,,,,,7.6
10,10,Iron Man 3,BV,1215.4,409,806.4,2013,"May 3, 2013",Action / Adventure, 2 hrs. 9 min.,PG-13,200 ,174144585,133 days / 19 weeks,Shane Black,Robert Downey Jr.Gwyneth PaltrowDon CheadleGuy PearceRebecca HallJames Badge DaleJon FavreauBen KingsleyPaul Bettany* (Voice)Mark Ruffalo* (Cameo),4253,7.3
11,11,Minions,Uni.,1159.4,336,823.4,2015,"July 10, 2015",Animation, 1 hrs. 31 min.,PG,74 ,1159398397,,,,,6.5
12,12,Transformers: Dark of the Moon,P/DW,1123.8,352.4,771.4,2011,"June 29, 2011",Sci-Fi Action, 2 hrs. 34 min.,PG-13,195 ,97852865,107 days / 15.3 weeks,Michael Bay,Shia LaBeoufRosie Huntington-WhiteleyJosh DuhamelTyrese GibsonFrances McDormandPatrick DempseyJohn MalkovichAlan TudykKen JeongJohn TurturroHugo Weaving* (Voice)Leonard Nimoy* (Voice),4088,6.3
13,13,The Lord of the Rings: The Return of the King,NL,1119.9,377.8,742.1,2003^,"December 17, 2003",Fantasy, 3 hrs. 20 min.,PG-13,94 ,1119929521,,,,,8.9
14,14,Skyfall,Sony,1108.6,304.4,804.2,2012,"November 9, 2012",Action, 2 hrs. 23 min.,PG-13,200 ,88364714,122 days / 17.4 weeks,Sam Mendes,Daniel CraigJudi DenchJavier BardemRalph FiennesNaomie HarrisBerenice MarloheBen WhishawAlbert Finney,3526,7.8
15,15,Transformers: Age of Extinction,Par.,1104.1,245.4,858.6,2014,"June 27, 2014",Sci-Fi Action, 2 hrs. 45 min.,PG-13,210 ,100038390,105 days / 15 weeks,Michael Bay,Mark WahlbergNicola PeltzJack ReynorTJ MillerStanley TucciKelsey Grammer,4233,5.7
16,16,The Dark Knight Rises,WB,1084.9,448.1,636.8,2012,"July 20, 2012",Action Thriller, 2 hrs. 45 min.,PG-13,250 ,160887295,147 days / 21 weeks,Christopher Nolan,Christian BaleMichael CaineAnne HathawayTom HardyGary OldmanMarion CotillardJoseph Gordon-LevittMorgan FreemanMatthew ModineJuno Temple*Cillian Murphy*Liam Neeson*Joey King*,4404,8.5
17,17,Pirates of the Caribbean: Dead Man's Chest,BV,1066.2,423.3,642.9,2006,"July 7, 2006",Period Adventure, 2 hrs. 31 min.,PG-13,225 ,135634554,154 days / 22 weeks,Gore Verbinski,Johnny DeppOrlando BloomKeira KnightleyJack DavenportBill NighyJonathan PryceStellan SkarsgardTom HollanderNaomie HarrisGeoffrey Rush* (Cameo),4133,7.3
18,18,Toy Story 3,BV,1063.2,415,648.2,2010,"June 18, 2010",Animation, 1 hrs. 43 min.,G,200 ,110307189,168 days / 24 weeks,Lee Unkrich,Tom Hanks (Voice)Michael Keaton (Voice)Joan Cusack (Voice)Tim Allen (Voice)Don Rickles (Voice)John Ratzenberger (Voice)Whoopi Goldberg* (Voice)Wallace Shawn (Voice)Timothy Dalton (Voice)Bonnie Hunt* (Voice)Ned Beatty (Voice)Jodi Benson* (Voice)Richard Kind* (Voice)Jeff Garlin* (Voice)Lee Unkrich* (Voice),4028,8.4
19,19,Pirates of the Caribbean: On Stranger Tides,BV,1045.7,241.1,804.6,2011,"May 20, 2011",Period Adventure, 2 hrs. 17 min.,PG-13,250 ,90151958,133 days / 19 weeks,Rob Marshall,Johnny DeppPenelope CruzIan McShaneKevin McNallyAstrid Berges-FrisbeySam ClaflinGeoffrey Rush,4164,6.7
