"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"1"	1	1	"Avatar"	"Fox"	2788	760.5	2027.5	NA	2009	"Sci-Fi Adventure"	"PG-13"	3461	7.9	"Sci-Fi"	"Adventure"	77	160	34	"James Cameron"	""	"Sam Worthington"	"Zoe Saldana"	"hs"	NA
"2"	2	2	"Titanic"	"Par."	2186.8	658.7	1528.1	NA	1997	"Romance"	"PG-13"	NA	7.7	"Romance"	""	NA	194	NA	"James Cameron"	""	"Leonardo DiCaprio"	"Kate Winslet"	"hs"	200
"3"	3	3	"Star Wars: The Force Awakens"	"BV"	2042.5	923.7	1118.8	NA	2015	"Sci-Fi Fantasy"	"PG-13"	NA	8.4	"Sci-Fi"	"Fantasy"	NA	136	NA	"J.J. Abrams"	""	"Harrison Ford"	"Mark Hamill"	"hs"	200
"4"	4	4	"Jurassic World"	"Uni."	1670.4	652.3	1018.1	NA	2015	"Sci-Fi Horror"	"PG-13"	NA	7.1	"Sci-Fi"	"Horror"	NA	124	NA	"Colin Trevorrow"	""	"Chris Pratt"	"Bryce Dallas Howard"	"ss"	150
"5"	5	5	"Marvel's The Avengers"	"BV"	1519.6	623.4	896.2	NA	2012	"AA"	"PG-13"	4349	8.1	"AA"	""	207.4	142	22	"Joss Whedon"	""	"Robert Downey Jr."	"Chris Evans"	"ns"	220
"6"	6	6	"Furious 7"	"Uni."	1516	353	1163	NA	2015	"Action"	"PG-13"	4022	7.3	"Action"	""	NA	137	NA	"James Wan"	""	"Vin Diesel"	"Paul Walker"	"ns"	190
"7"	7	7	"Avengers: Age of Ultron"	"BV"	1405.4	459	946.4	NA	2015	"AA"	"PG-13"	4276	7.6	"AA"	""	191.3	141	23	"Joss Whedon"	""	"Robert Downey Jr."	"Chris Hemsworth"	"ns"	250
"8"	8	8	"Harry Potter and the Deathly Hallows Part 2"	"WB"	1341.5	381	960.5	NA	2011	"Fantasy"	"PG-13"	4375	8.1	"Fantasy"	""	169.2	130	19	"David Yates"	""	"Ralph Fiennes"	"Michael Gambon"	"ss"	NA
"9"	9	9	"Frozen"	"BV"	1276.5	400.7	875.7	NA	2013	"Animation"	"PG"	NA	7.6	"Animation"	""	NA	108	NA	"Chris Buck"	"Jennifer Lee"	"Kristen Bell"	"Idina Menzel"	"hs"	150
"10"	10	10	"Iron Man 3"	"BV"	1215.4	409	806.4	NA	2013	"AA"	"PG-13"	4253	7.3	"AA"	""	174.1	129	19	"Shane Black"	""	"Robert Downey Jr."	"Gwyneth Paltrow"	"ns"	200
"11"	11	11	"Minions"	"Uni."	1159.4	336	823.4	NA	2015	"Animation"	"PG"	NA	6.5	"Animation"	""	NA	91	NA	"Kyle Balda"	"Pierre Coffin"	"Sandra Bullock"	"Jon Hamm"	"ss"	74
"12"	12	12	"Transformers: Dark of the Moon"	"P/DW"	1123.8	352.4	771.4	NA	2011	"Sci-Fi Action"	"PG-13"	4088	6.3	"Sci-Fi"	"Action"	97.9	154	15.3	"Michael Bay"	""	"Shia LaBeouf"	"Rosie Huntington-Whiteley"	"ss"	195
"13"	13	13	"The Lord of the Rings: The Return of the King"	"NL"	1119.9	377.8	742.1	NA	2003	"Fantasy"	"PG-13"	NA	8.9	"Fantasy"	""	NA	200	NA	"Peter Jackson"	""	"Noel Appleby"	"Ali Astin"	"hs"	94
"14"	14	14	"Skyfall"	"Sony"	1108.6	304.4	804.2	NA	2012	"Action"	"PG-13"	3526	7.8	"Action"	""	88.4	143	17.4	"Sam Mendes"	""	"Daniel Craig"	"Judi Dench"	"ns"	200
"15"	15	15	"Transformers: Age of Extinction"	"Par."	1104.1	245.4	858.6	NA	2014	"Sci-Fi Action"	"PG-13"	4233	5.7	"Sci-Fi"	"Action"	100	165	15	"Michael Bay"	""	"Mark Wahlberg"	"Stanley Tucci"	"ss"	210
"16"	16	16	"The Dark Knight Rises"	"WB"	1084.9	448.1	636.8	NA	2012	"Action Thriller"	"PG-13"	4404	8.5	"Action"	"Thriller"	160.9	165	21	"Christopher Nolan"	""	"Christian Bale"	"Gary Oldman"	"ss"	250
"17"	17	17	"Pirates of the Caribbean: Dead Man's Chest"	"BV"	1066.2	423.3	642.9	NA	2006	"Period Adventure"	"PG-13"	4133	7.3	"Period"	"Adventure"	135.6	151	22	"Gore Verbinski"	""	"Johnny Depp"	"Orlando Bloom"	"ss"	225
"18"	18	18	"Toy Story 3"	"BV"	1063.2	415	648.2	NA	2010	"Animation"	"G"	4028	8.4	"Animation"	""	110.3	103	24	"Lee Unkrich"	""	"Tom Hanks"	"Tim Allen"	"ss"	200
"19"	19	19	"Pirates of the Caribbean: On Stranger Tides"	"BV"	1045.7	241.1	804.6	NA	2011	"Period Adventure"	"PG-13"	4164	6.7	"Period"	"Adventure"	90.2	137	19	"Rob Marshall"	""	"Johnny Depp"	"Pen¨¦lope Cruz"	"ss"	250
"20"	20	20	"Jurassic Park"	"Uni."	1029.2	402.5	626.7	NA	1993	"Sci-Fi Horror"	"PG-13"	2566	8.1	"Sci-Fi"	"Horror"	NA	127	NA	"Steven Spielberg"	""	"Sam Neill"	"Laura Dern"	"ss"	63
"21"	21	21	"Star Wars: Episode I - The Phantom Menace"	"Fox"	1027	474.5	552.5	NA	1999	"Sci-Fi Fantasy"	"PG"	3126	6.5	"Sci-Fi"	"Fantasy"	64.8	133	37.3	"George Lucas"	""	"Liam Neeson"	"Ewan McGregor"	"ns"	115
"22"	22	22	"Alice in Wonderland (2010)"	"BV"	1025.5	334.2	691.3	NA	2010	"Family Adventure"	"PG"	3739	6.5	"Family"	"Adventure"	116.1	109	18	"Tim Burton"	""	"Johnny Depp"	"Mia Wasikowska"	"ns"	200
"23"	23	23	"The Hobbit: An Unexpected Journey"	"WB (NL)"	1021.1	303	718.1	NA	2012	"Fantasy"	"PG-13"	4100	7.9	"Fantasy"	""	84.6	166	19	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA
"24"	24	24	"The Dark Knight"	"WB"	1004.6	534.9	469.7	NA	2008	"AA"	"PG-13"	4366	9	"AA"	""	158.4	150	33	"Christopher Nolan"	""	"Christian Bale"	"Heath Ledger"	"ss"	185
"25"	25	25	"The Lion King"	"BV"	987.5	422.8	564.7	NA	1994	"Animation"	"G"	NA	8.5	"Animation"	""	NA	89	NA	"Roger Allers"	"Rob Minkoff"	"Matthew Broderick"	"Jonathan Taylor Thomas"	"ss"	45
"26"	26	26	"Harry Potter and the Sorcerer's Stone"	"WB"	974.8	317.6	657.2	NA	2001	"Fantasy"	"PG"	3672	7.5	"Fantasy"	""	NA	153	NA	"Chris Columbus"	""	"Richard Harris"	"Maggie Smith"	"ns"	125
"27"	27	27	"Despicable Me 2"	"Uni."	970.8	368.1	602.7	NA	2013	"Animation"	"PG"	4003	7.5	"Animation"	""	NA	98	NA	"Pierre Coffin"	"Chris Renaud"	"Steve Carell"	"Kristen Wiig"	"ss"	76
"28"	28	28	"Pirates of the Caribbean: At World's End"	"BV"	963.4	309.4	654	NA	2007	"Period Adventure"	"PG-13"	4362	7.1	"Period"	"Adventure"	114.7	168	19	"Gore Verbinski"	""	"Johnny Depp"	"Geoffrey Rush"	"ss"	300
"29"	29	29	"Harry Potter and the Deathly Hallows Part 1"	"WB"	960.3	296	664.3	NA	2010	"Fantasy"	"PG-13"	4125	7.7	"Fantasy"	""	NA	150	NA	"David Yates"	""	"Bill Nighy"	"Emma Watson"	"ns"	NA
"30"	30	30	"The Hobbit: The Desolation of Smaug"	"WB (NL)"	958.4	258.4	700	NA	2013	"Fantasy"	"PG-13"	3928	7.9	"Fantasy"	""	73.6	161	18	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA
"31"	31	31	"The Hobbit: The Battle of the Five Armies"	"WB (NL)"	956	255.1	700.9	NA	2014	"Fantasy"	"PG-13"	3875	7.5	"Fantasy"	""	54.7	144	15.3	"Peter Jackson"	""	"Ian McKellen"	"Martin Freeman"	"hs"	NA
"32"	32	32	"Harry Potter and the Order of the Phoenix"	"WB"	939.9	292	647.9	NA	2007	"Fantasy"	"PG-13"	4285	7.5	"Fantasy"	""	77.1	139	22.3	"David Yates"	""	"Daniel Radcliffe"	"Harry Melling"	"ss"	150
"33"	33	33	"Finding Nemo"	"BV"	936.7	380.8	555.9	NA	2003	"Animation"	"G"	3425	8.1	"Animation"	""	70.3	104	29	"Andrew Stanton"	"Lee Unkrich"	"Albert Brooks"	"Ellen DeGeneres"	"ss"	94
"34"	34	34	"Harry Potter and the Half-Blood Prince"	"WB"	934.4	302	632.5	NA	2009	"Fantasy"	"PG"	4455	7.5	"Fantasy"	""	77.8	153	22.3	"David Yates"	""	"Daniel Radcliffe"	"Michael Gambon"	"ss"	250
"35"	35	35	"The Lord of the Rings: The Two Towers"	"NL"	926	342.6	583.5	NA	2002	"Fantasy"	"PG-13"	NA	8.7	"Fantasy"	""	NA	179	NA	"Peter Jackson"	""	"Bruce Allpress"	"Sean Astin"	"hs"	94
"36"	36	36	"Shrek 2"	"DW"	919.8	441.2	478.6	NA	2004	"Animation"	"PG"	4223	7.2	"Animation"	""	108	93	21.3	"Andrew Adamson"	"Kelly Asbury"	"Mike Myers"	"Eddie Murphy"	"ns"	150
"37"	37	37	"Harry Potter and the Goblet of Fire"	"WB"	896.9	290	606.9	NA	2005	"Fantasy"	"PG-13"	3858	7.6	"Fantasy"	""	102.7	153	20	"Mike Newell"	""	"Eric Sykes"	"Timothy Spall"	"ns"	150
"38"	38	38	"Spider-Man 3"	"Sony"	890.9	336.5	554.3	NA	2007	"AA"	"PG-13"	4324	6.2	"AA"	""	151.1	140	16	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ns"	258
"39"	39	39	"Ice Age: Dawn of the Dinosaurs"	"Fox"	886.7	196.6	690.1	NA	2009	"Animation"	"PG"	4102	7	"Animation"	""	41.7	87	21.3	"Carlos Saldanha"	"Mike Thurmeier"	"Eunice Cho"	"Karen Disher"	"ss"	90
"40"	40	40	"Spectre"	"Sony"	879.5	199.8	679.7	NA	2015	"Action"	"PG-13"	NA	6.9	"Action"	""	NA	148	NA	"Sam Mendes"	""	"Daniel Craig"	"Christoph Waltz"	"ns"	245
"41"	41	41	"Harry Potter and the Chamber of Secrets"	"WB"	879	262	617	NA	2002	"Fantasy"	"PG"	3682	7.4	"Fantasy"	""	88.4	161	24.4	"Chris Columbus"	""	"Daniel Radcliffe"	"Rupert Grint"	"ns"	100
"42"	42	42	"Ice Age: Continental Drift"	"Fox"	877.2	161.3	715.9	NA	2012	"Animation"	"PG"	3886	6.7	"Animation"	""	46.6	94	30	"Steve Martino"	"Mike Thurmeier"	"Aziz Ansari"	"Joy Behar"	"ss"	95
"43"	43	43	"The Lord of the Rings: The Fellowship of the Ring"	"NL"	871.5	315.5	556	NA	2001	"Fantasy"	"PG-13"	NA	8.8	"Fantasy"	""	NA	178	NA	"Peter Jackson"	""	"Alan Howard"	"Noel Appleby"	"hs"	93
"44"	44	44	"The Hunger Games: Catching Fire"	"LGF"	865	424.7	440.3	NA	2013	"AA"	"PG-13"	4163	7.6	"AA"	""	158.1	146	19	"Francis Lawrence"	""	"Jennifer Lawrence"	"Liam Hemsworth"	"hs"	130
"45"	45	45	"Inside Out"	"BV"	856.8	356.5	500.3	NA	2015	"Animation"	"PG"	NA	8.3	"Animation"	""	NA	94	NA	"Pete Docter"	"Ronnie Del Carmen"	"Amy Poehler"	"Phyllis Smith"	"ss"	175
