"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"1"	1	1	"Avatar"	"Fox"	2788	760.5	2027.5	2009	"Sci-Fi Adventure"	"PG-13"	3461	7.9	"Sci-Fi"	"Adventure"	77	160	34	"James Cameron"	""	"Sam Worthington"	"Zoe Saldana"	"hs"	NA	0	"avatar"	293	72	0	NA
"2"	2	2	"Titanic"	"Par."	2186.8	658.7	1528.1	1997	"Romance"	"PG-13"	NA	7.7	"Romance"	""	NA	194	NA	"James Cameron"	""	"Leonardo DiCaprio"	"Kate Winslet"	"hs"	200	0	"titanic"	178	77	0	3.29
"3"	3	3	"Star Wars: The Force Awakens"	"BV"	2042.5	923.7	1118.8	2015	"Sci-Fi Fantasy"	"PG-13"	NA	8.4	"Sci-Fi"	"Fantasy"	NA	136	NA	"J.J. Abrams"	""	"Harrison Ford"	"Mark Hamill"	"hs"	200	1	"starwars:theforceawakens"	342	81	0	4.62
"4"	4	4	"Jurassic World"	"Uni."	1670.4	652.3	1018.1	2015	"Sci-Fi Horror"	"PG-13"	NA	7.1	"Sci-Fi"	"Horror"	NA	124	NA	"Colin Trevorrow"	""	"Chris Pratt"	"Bryce Dallas Howard"	"ss"	150	0	"jurassicworld"	0	0	0	4.35
"5"	5	5	"Marvel's The Avengers"	"BV"	1519.6	623.4	896.2	2012	"AA"	"PG-13"	4349	8.1	"AA"	""	207.4	142	22	"Joss Whedon"	""	"Robert Downey Jr."	"Chris Evans"	"ns"	220	0	"marvel'stheavengers"	314	81	1	2.83
"6"	6	6	"Furious 7"	"Uni."	1516	353	1163	2015	"Action"	"PG-13"	4022	7.3	"Action"	""	NA	137	NA	"James Wan"	""	"Vin Diesel"	"Paul Walker"	"ns"	190	1	"furious7"	0	0	0	1.86
"7"	7	7	"Avengers: Age of Ultron"	"BV"	1405.4	459	946.4	2015	"AA"	"PG-13"	4276	7.6	"AA"	""	191.3	141	23	"Joss Whedon"	""	"Robert Downey Jr."	"Chris Hemsworth"	"ns"	250	1	"avengers:ageofultron"	0	0	1	1.84
"8"	8	8	"Harry Potter and the Deathly Hallows Part 2"	"WB"	1341.5	381	960.5	2011	"Fantasy"	"PG-13"	4375	8.1	"Fantasy"	""	169.2	130	19	"David Yates"	""	"Ralph Fiennes"	"Michael Gambon"	"ss"	NA	1	"harrypotterandthedeathlyhallowspart2"	308	85	0	NA
"9"	9	9	"Frozen"	"BV"	1276.5	400.7	875.7	2013	"Animation"	"PG"	NA	7.6	"Animation"	""	NA	108	NA	"Chris Buck"	"Jennifer Lee"	"Kristen Bell"	"Idina Menzel"	"hs"	150	0	"frozen"	129	77	0	2.67
"10"	10	10	"Iron Man 3"	"BV"	1215.4	409	806.4	2013	"AA"	"PG-13"	4253	7.3	"AA"	""	174.1	129	19	"Shane Black"	""	"Robert Downey Jr."	"Gwyneth Paltrow"	"ns"	200	1	"ironman3"	284	67	5	2.04
