"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"1" 1 "Avatar" "Fox" 2788 760.5 2027.5 2009 "Sci-Fi Adventure" "PG-13" 3461 7.9 "Sci-Fi" "Adventure" 77 160 34 "James Cameron" "hs" NA 0 293 72 0 NA 64 103.38 10.47 NA 65 54 6 12 "14" 46
"2" 2 "Titanic" "Par." 2186.8 658.7 1528.1 1997 "Romance" "PG-13" NA 7.7 "Romance" "" NA 194 NA "James Cameron" "hs" 200 0 178 77 0 3.29 52 110.21 NA 33.46 65 54 85 80 "195" 144
"3" 3 "Star Wars: The Force Awakens" "BV" 2042.5 923.7 1118.8 2015 "Sci-Fi Fantasy" "PG-13" NA 8.4 "Sci-Fi" "Fantasy" NA 136 NA "J.J. Abrams" "hs" 200 1 342 81 0 4.62 70 114.8 NA 24.86 18 41 32 11 "36" 13
"4" 4 "Jurassic World" "Uni." 1670.4 652.3 1018.1 2015 "Sci-Fi Horror" "PG-13" NA 7.1 "Sci-Fi" "Horror" NA 124 NA "Colin Trevorrow" "ss" 150 0 0 0 0 4.35 70 81.07 NA 18.64 0 9 10 14 "25" 23
"5" 5 "Marvel's The Avengers" "BV" 1519.6 623.4 896.2 2012 "AA" "PG-13" 4349 8.1 "AA" "" 207.4 142 22 "Joss Whedon" "ns" 220 0 314 81 1 2.83 67 80.95 26.93 28.57 20 39 33 4 "91" 26
"6" 6 "Furious 7" "Uni." 1516 353 1163 2015 "Action" "PG-13" 4022 7.3 "Action" "" NA 137 NA "James Wan" "ns" 190 1 0 0 0 1.86 70 43.87 NA 23.61 10 8 7 7 "26" 11
"7" 7 "Avengers: Age of Ultron" "BV" 1405.4 459 946.4 2015 "AA" "PG-13" 4276 7.6 "AA" "" 191.3 141 23 "Joss Whedon" "ns" 250 1 0 0 1 1.84 70 57.05 23.78 31.07 20 39 33 9 "91" 21
"8" 8 "Harry Potter and the Deathly Hallows Part 2" "WB" 1341.5 381 960.5 2011 "Fantasy" "PG-13" 4375 8.1 "Fantasy" "" 169.2 130 19 "David Yates" "ss" NA 1 308 85 0 NA 66 50.22 22.3 NA 14 15 32 18 "90" 16
"9" 9 "Frozen" "BV" 1276.5 400.7 875.7 2013 "Animation" "PG" NA 7.6 "Animation" "" NA 108 NA "Chris Buck" "hs" 150 0 129 77 0 2.67 68 51.27 NA 19.19 9 10 11 6 "30" 14
"10" 10 "Iron Man 3" "BV" 1215.4 409 806.4 2013 "AA" "PG-13" 4253 7.3 "AA" "" 174.1 129 19 "Shane Black" "ns" 200 1 284 67 5 2.04 68 52.33 22.27 25.59 3 7 33 23 "91" 48
"11" 11 "Minions" "Uni." 1159.4 336 823.4 2015 "Animation" "PG" NA 6.5 "Animation" "" NA 91 NA "Kyle Balda" "ss" 74 0 0 0 0 4.54 70 41.76 NA 9.2 0 1 72 19 "102" 76
"12" 12 "Transformers: Dark of the Moon" "P/DW" 1123.8 352.4 771.4 2011 "Sci-Fi Action" "PG-13" 4088 6.3 "Sci-Fi" "Action" 97.9 154 15.3 "Michael Bay" "ss" 195 1 0 0 0 1.81 66 46.45 12.91 25.7 7 10 11 1 "38" 3
