rank	reviewnum	title	tomato_rating
1.	71	Big (1988)	97%
2.	63	Bull Durham (1988)	97%
3.	61	Who Framed Roger Rabbit (1988)	97%
4.	45	Midnight Run (1988)	96%
5.	43	Heathers (1988)	95%
6.	59	A Fish Called Wanda (1988)	93%
7.	64	Die Hard (1988)	92%
8.	44	My Neighbor Totoro (1988)	93%
9.	69	Rain Man (1988)	90%
10.	67	Cinema Paradiso (Nuovo Cinema Paradiso) (1988)	90%
11.	51	The Naked Gun - From the Files of Police Squad! (1988)	86%
12.	48	Eight Men Out (1988)	85%
13.	47	They Live (1988)	83%
14.	51	The Last Temptation of Christ (1988)	82%
15.	45	Talk Radio (1988)	82%
16.	43	Beetlejuice (1988)	81%
17.	40	Frantic (1988)	78%
18.	40	Scrooged (1988)	68%
1.	43	"sex, lies, and videotape (1989)"	98%
2.	42	Say Anything... (1989)	98%
3.	67	Do the Right Thing (1989)	93%
4.	66	The Little Mermaid (1989)	92%
5.	53	Parenthood (1989)	92%
6.	41	Glory (1989)	93%
7.	51	The Adventures of Baron Munchausen (1989)	92%
8.	40	Crimes and Misdemeanors (1989)	93%
9.	64	When Harry Met Sally (1989)	89%
10.	68	Indiana Jones and the Last Crusade (1989)	88%
11.	44	The Abyss (1989)	89%
12.	56	Field of Dreams (1989)	86%
13.	54	Dead Poets Society (1989)	85%
14.	55	Driving Miss Daisy (1989)	82%
15.	42	Casualties of War (1989)	83%
16.	43	Bill and Ted's Excellent Adventure (1989)	79%
17.	52	Licence To Kill (1989)	77%
18.	68	Batman (1989)	72%
19.	60	Back to the Future Part II (1989)	63%
20.	41	Tango & Cash (1989)	34%
21.	43	Star Trek V - The Final Frontier (1989)	21%
1.	76	GoodFellas (1990)	96%
2.	45	The Freshman (1990)	93%
3.	55	Miller's Crossing (1990)	91%
4.	61	Misery (1990)	89%
5.	56	Edward Scissorhands (1990)	89%
6.	66	The Hunt for Red October (1990)	86%
7.	42	Nikita (La Femme Nikita) (1990)	88%
8.	49	Presumed Innocent (1990)	86%
9.	52	Total Recall (1990)	85%
10.	58	Darkman (1990)	83%
11.	66	Dances With Wolves (1990)	82%
12.	66	Ghost (1990)	74%
13.	55	Cry-Baby (1990)	73%
14.	43	Back to the Future Part III (1990)	74%
15.	61	Jacob's Ladder (1990)	69%
16.	61	Die Hard 2 (1990)	69%
17.	57	"The Godfather, Part III (1990)"	67%
18.	43	Gremlins 2: The New Batch (1990)	67%
19.	46	Wild At Heart (1990)	65%
20.	45	Dick Tracy (1990)	64%
21.	55	Pretty Woman (1990)	62%
22.	42	Home Alone (1990)	55%
23.	42	Flatliners (1990)	48%
24.	50	Teenage Mutant Ninja Turtles: The Movie (1990)	40%
25.	58	Days of Thunder (1990)	38%
26.	50	The Bonfire of the Vanities (1990)	16%
1.	103	Beauty and the Beast (1991)	93%
2.	73	The Silence of the Lambs (1991)	95%
3.	49	Boyz n the Hood (1991)	96%
4.	67	Terminator 2: Judgment Day (1991)	93%
5.	54	Barton Fink (1991)	91%
6.	52	Delicatessen (1991)	88%
7.	40	The Commitments (1991)	88%
8.	60	JFK (1991)	85%
9.	59	Bugsy (1991)	85%
10.	65	Thelma & Louise (1991)	83%
11.	54	The Fisher King (1991)	83%
12.	48	Star Trek VI - The Undiscovered Country (1991)	83%
13.	55	My Own Private Idaho (1991)	82%
14.	40	What About Bob? (1991)	83%
15.	44	Dead Again (1991)	82%
16.	47	Jungle Fever (1991)	81%
17.	46	Cape Fear (1991)	76%
18.	41	Fried Green Tomatoes (1991)	73%
19.	41	Father of the Bride (1991)	73%
20.	42	Backdraft (1991)	71%
21.	57	Point Break (1991)	68%
22.	57	The Rocketeer (1991)	61%
23.	40	The Addams Family (1991)	60%
24.	59	The Doors (1991)	54%
25.	52	Robin Hood: Prince of Thieves (1991)	50%
26.	40	Teenage Mutant Ninja Turtles II - The Secret of the Ooze (1991)	33%
27.	40	Hook (1991)	30%
1.	54	The Player (1992)	98%
2.	62	The Crying Game (1992)	97%
3.	84	Unforgiven (1992)	95%
4.	45	One False Move (1992)	98%
5.	48	Supercop (1992)	96%
6.	68	Aladdin (1992)	94%
7.	52	Glengarry Glen Ross (1992)	94%
8.	55	Malcolm X (1992)	91%
9.	62	Reservoir Dogs (1992)	90%
